Index,Name1,Name,Date_of_birth,Season_year,Season,Team1,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,Shooting_Percentage,PowerPlay_Goals,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position1,Position,Height,Weight,x,Body_mass_index,Place_of_birth1,Place_of_birth,Age,Experience
1,Aaron Downey,ఆరోన్ డౌనీ,8/27/1974,2000,'99-'00,BOS,బిఓఎస్,243,8,10,18,-4,494,85,0,0,0,0,0,3,0,8:31,0:00,32,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,98,28.6,28.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Shelburne, Ontario","షెల్బర్న్, అంటారియో",26,1
2,Aaron Gagnon,ఆరోన్ గాగ్నోన్,4/24/1986,2010,'09-'10,DAL,డిఎఎల్,38,3,2,5,-2,2,28,0,0,0,0,0,1,0,8:49,0:00,21,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,85,26.2,26.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Quesnel, British Columbia","క్వెస్నెల్, బ్రిటిష్ కొలంబియా",24,1
3,Aaron Gavey,ఆరోన్ గేవీ,2/22/1974,1996,'95-'96,TB,టిబి,360,41,50,91,-52,272,382,12.3,7,8,1,1,8,1,0:00,0:00,40,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,188,86,24.3,24.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Sudbury, Ontario","సడ్‌బరీ, అంటారియో",22,1
4,Aaron MacKenzie,ఆరోన్ మెకెంజీ,3/7/1981,2009,'08-'09,COL,సిఓఎల్,5,0,0,0,1,0,3,0,0,0,0,0,0,0,14:38,0:00,34,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,88,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Terrace Bay, Ontario","టెర్రేస్ బే, అంటారియో",28,1
5,Aaron Miller,ఆరోన్ మిల్లర్,8/11/1970,1994,'93-'94,QUE,క్యూయుఇ ,677,25,94,119,27,422,530,0,1,4,1,5,9,0,0:00,0:00,4,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,94,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Buffalo, New York","బఫెలో, న్యూయార్క్",24,1
6,Aaron Ness,ఆరోన్ నెస్,5/18/1990,2012,'11-'12,NYI,ఎన్.వై.ఐ,71,1,6,7,-7,22,50,0,0,0,0,0,0,0,16:56,0:00,42,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,178,83,26.2,26.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Bemidji, Minnesota","బెమిడ్జి, మిన్నెసోటా",22,1
7,Aaron Palushaj,ఆరోన్ పలుషాజ్,9/7/1989,2011,'10-'11,MTL,ఎంటిఎల్,68,3,11,14,-1,18,71,0,0,0,0,0,0,0,8:31,0:00,42,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,85,25.4,25.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Livonia, Michigan","లివోనియా, మిచిగాన్",22,1
8,Aaron Rome,ఆరోన్ రోమ్,9/27/1983,2007,'06-'07,ANA,ఎఎన్ఎ,226,6,22,28,-17,185,194,0,1,3,0,0,1,0,14:31,0:00,58,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,100,29.2,29.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Nesbitt, Manitoba","నెస్బిట్, మానిటోబా",24,1
9,Aaron Volpatti,ఆరోన్ వోల్పట్టి,3/30/1985,2011,'10-'11,VAN,విఎఎన్,114,5,2,7,-8,137,63,16.7,0,0,0,0,0,0,6:50,51:14:00,17,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,185,92,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Revelstoke, British Columbia","రెవెల్‌స్టోక్, బ్రిటిష్ కొలంబియా",26,1
10,Aaron Voros,ఆరోన్ వోరోస్,7/2/1981,2008,'07-'08,MIN,ఎంఐఎన్,162,18,19,37,-22,395,148,13.5,4,1,0,0,2,0,9:12,36:07:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,193,98,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Vancouver, British Columbia","వాంకోవర్, బ్రిటిష్ కొలంబియా",27,1
11,Aaron Ward,ఆరోన్ వార్డ్,1/17/1973,1994,'93-'94,DET,డిఇటి,839,44,107,151,-41,736,679,33.3,2,7,1,7,9,1,0:00,0:00,4,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,98,27.7,27.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Windsor, Ontario","విండ్సర్, అంటారియో",21,1
12,Adam Almqvist,ఆడమ్ ఆల్మ్‌క్విస్ట్,2/27/1991,2014,'13-'14,DET,డిఇటి,2,1,0,1,-1,0,2,50,0,0,0,0,0,0,17:13,34:26:00,53,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,180,78,24.1,24.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Jonkoping, Sweden","జోంకోపింగ్, స్వీడన్",23,1
13,Adam Bennett,ఆడమ్ బెన్నెట్,3/30/1971,1992,'91-'92,CHI,సిహెచ్ఐ,69,3,8,11,-9,69,78,0,1,4,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,193,93,25,25<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Georgetown, Ontario","జార్జ్‌టౌన్, అంటారియో",21,1
14,Adam Berkhoel,ఆడమ్ బెర్కోయెల్,5/16/1981,2006,'05-'06,ATL,ఎటిఎల్,9,0,0,0,0,0,0,NONE,0,0,0,0,0,0,52:36:00,NONE,33,7,2,4,0,1,3.8,3.8,255,225,0.882,0,Goaltender,గోల్ టెండర్ ,180,84,25.9,25.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Woodbury, Minnesota","వుడ్‌బరీ, మిన్నెసోటా",25,1
15,Adam Berti,ఆడమ్ బెర్టీ,7/1/1986,2008,'07-'08,CHI,సిహెచ్ఐ,2,0,0,0,0,0,1,0,0,0,0,0,0,0,10:07,0:00,45,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,190,94,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Scarborough, Ontario","స్కార్‌బరో, అంటారియో",22,1
16,Adam Burish,ఆడమ్ బురిష్,1/6/1983,2007,'06-'07,CHI,సిహెచ్ఐ,378,27,33,60,-21,554,414,0,0,2,2,0,5,0,11:08,0:00,37,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,88,25.7,25.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Madison, Wisconsin","మాడిసన్, విస్కాన్సిన్",24,1
