Index,Name,Name,Date_of_birth,Season_year,Season,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,,Shooting_Percentage,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position,Height,Weight,Body_mass_index,Place_of_birth,Place_of_birth,Age,Experience
1,Aaron Downey,ఆరాన్ డౌనీ,8/27/1974,2000,'99-'00,BOS,1,0,0,0,0,0,0,,0,0,0,0,0,0,8:31,0:00,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,98,28.6,"Shelburne, Ontario","శెల్బర్న్, ఓంటేరియో",26,1
2,Aaron Gagnon,ఆరాన్ గాగ్నాన్,4/24/1986,2010,'09-'10,DAL,2,0,0,0,0,0,2,,0,0,0,0,0,NONE,8:49,0:00,21,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,85,26.2,"Quesnel, British Columbia","క్వెస్ల్, బ్రిటిష్ కొలంబియా",24,1
3,Aaron Gavey,ఆరాన్ గావీ,2/22/1974,1996,'95-'96,TB,73,8,4,12,-6,56,65,,12.3,2,1,0,2,0,0:00,0:00,40,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,86,24.3,"Sudbury, Ontario","సుద్బూరీ, ఓంటేరియో",22,1
4,Aaron MacKenzie,ఆరాన్ మక్కెంజీ,3/7/1981,2009,'08-'09,COL,5,0,0,0,1,0,3,,0,0,0,0,0,NONE,14:38,0:00,34,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,88,26.3,"Terrace Bay, Ontario","టెర్రాస్ బే, ఓంటేరియో",28,1
5,Aaron Miller,ఆరాన్ మిల్లర్,8/11/1970,1994,'93-'94,QUE,1,0,0,0,-1,0,0,,0,0,0,0,0,0,0:00,0:00,4,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,94,26,"Buffalo, New York","బుఫ్ఫలో, న్యూ యార్క్",24,1
6,Aaron Ness,ఆరాన్ నేస్,5/18/1990,2012,'11-'12,NYI,9,0,0,0,0,2,6,,0,0,0,0,0,NONE,16:56,0:00,42,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,178,83,26.2,"Bemidji, Minnesota","బేమిడ్జి, మిన్నెసోటా",22,1
7,Aaron Palushaj,ఆరాన్ పలుషాజ్,9/7/1989,2011,'10-'11,MTL,3,0,0,0,1,2,3,,0,0,0,0,0,NONE,8:31,0:00,42,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,85,25.4,"Livonia, Michigan","లివోనియా, మిచిగన్",22,1
8,Aaron Rome,ఆరాన్ రోమ్,9/27/1983,2007,'06-'07,ANA,1,0,0,0,-1,0,1,,0,0,0,0,0,NONE,14:31,0:00,58,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,100,29.2,"Nesbitt, Manitoba","నెస్బిట్, మనితోబా",24,1
9,Aaron Volpatti,ఆరాన్ వోల్పట్టి,3/30/1985,2011,'10-'11,VAN,15,1,1,2,-1,16,6,,16.7,0,0,0,0,NONE,6:50,51:14,17,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,92,26.9,"Revelstoke, British Columbia","రివేల్స్టోక్, బ్రిటిష్ కొలంబియా",26,1
10,Aaron Voros,ఆరాన్ వరోస్,7/2/1981,2008,'07-'08,MIN,55,7,7,14,-7,141,52,,13.5,1,0,0,1,NONE,9:12,36:07,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,193,98,26.3,"Vancouver, British Columbia","వాంకోవర్, బ్రిటిష్ కొలంబియా",27,1
11,Aaron Ward,ఆరాన్ వర్డ్,1/17/1973,1994,'93-'94,DET,5,1,0,1,2,4,3,,33.3,0,0,0,0,0,0:00,0:00,4,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,98,27.7,"Windsor, Ontario","విండ్సర్, ఓంటేరియో",21,1
12,Adam Almqvist,ఆడం ఆలంక్వీస్ట్,2/27/1991,2014,'13-'14,DET,2,1,0,1,-1,0,2,,50,0,0,0,0,NONE,17:13,34:26,53,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,180,78,24.1,"Jonkoping, Sweden","జొంకోపింగ్, స్వీడన్",23,1
13,Adam Bennett,ఆడం బెన్నెట్,3/30/1971,1992,'91-'92,CHI,5,0,0,0,1,12,6,,0,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,193,93,25,"Georgetown, Ontario","జార్జిటవ్న్, ఓంటేరియో",21,1
14,Adam Berkhoel,ఆడం బెర్కహ్ల్,5/16/1981,2006,'05-'06,ATL,9,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,52:36,NONE,33,7,2,4,NONE,1,30,3.8,255,225,0.882,0,Goaltender,180,84,25.9,"Woodbury, Minnesota","వోడ్బరీ, మిన్నెసోటా",25,1
15,Adam Berti,ఆడం బెర్టీ,7/1/1986,2008,'07-'08,CHI,2,0,0,0,0,0,1,,0,0,0,0,0,NONE,10:07,0:00,45,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,190,94,26,"Scarborough, Ontario","స్కార్బరో, ఓంటేరియో",22,1
16,Adam Burish,ఆడం బరిష్,1/6/1983,2007,'06-'07,CHI,9,0,0,0,-4,2,12,,0,0,0,0,0,NONE,11:08,0:00,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,88,25.7,"Madison, Wisconsin","మడిసన్, విస్కాన్సిన్",24,1
17,Adam Burt,ఆడం బర్ట్,1/15/1969,1989,'88-'89,HAR,5,0,0,0,-1,6,1,,0,0,0,0,0,0,0:00,0:00,7,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,95,26.9,"Detroit, Michigan","డెట్రాయిట్, మిచిగన్",20,1
18,Adam Cracknell,ఆడం క్రాక్నెల్,7/15/1985,2011,'10-'11,STL,24,3,4,7,1,8,26,,11.5,0,0,0,0,NONE,8:55,30:36,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,190,95,26.3,"Prince Albert, Saskatchewan","ప్రిన్స్ ఆల్బర్ట్, శస్కత్చేవన్",26,1
19,Adam Creighton,ఆడం క్రైట్టన్,6/2/1965,1984,'83-'84,BUF,7,2,2,4,0,4,8,,25,1,0,0,1,0,0:00,0:00,9,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,196,100,26,"Burlington, Ontario","బర్లింగ్టన్, ఓంటేరియో",19,1
20,Adam Deadmarsh,ఆడం డిడ్మర్ష్,5/10/1975,1995,'94-'95,COL,48,9,8,17,16,56,48,,18.8,0,0,0,0,1,0:00,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,95,28.4,"Trail, British Columbia","ట్రెయిల్, బ్రిటిష్ కొలంబియా",20,1
21,Adam Foote,ఆడం ఫూట్,7/10/1971,1992,'91-'92,QUE,46,2,5,7,-4,44,55,,3.6,1,0,0,0,1,0:00,0:00,52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,100,28.3,"Toronto, Ontario","టోరంటో, ఓంటేరియో",21,1
22,Adam Graves,ఆడం గ్రావ్స్,4/12/1968,1988,'87-'88,DET,9,0,1,1,-2,8,9,,0,0,0,0,0,0,0:00,0:00,9,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,93,27.8,"Toronto, Ontario","టోరంటో, ఓంటేరియో",20,1
23,Adam Hall,ఆడం హాల్,8/14/1980,2002,'01-'02,NSH,1,0,1,1,0,0,2,,0,0,0,0,0,0,14:04,14:04,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,190,97,26.9,"Kalamazoo, Michigan","కలమూ, మిచిగన్",22,1
24,Adam Hauser,ఆడం హౌసర్,5/27/1980,2006,'05-'06,LA,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,50:49,NONE,45,0,0,0,NONE,0,6,7.08,24,18,0.75,0,Goaltender,188,87,24.6,"Bovey, Minnesota","బోవీ, మిన్నెసోటా",26,1
25,Adam Henrique,ఆడం హెన్రిక్వే,2/6/1990,2011,'10-'11,NJ,1,0,0,0,1,0,3,,0,0,0,0,0,NONE,13:21,0:00,14,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,88,26.3,"Brantford, Ontario","బ్రాంట్ఫోషార్డ్, ఓంటేరియో",21,1
26,Adam Mair,ఆడం మెయిర్,2/15/1979,2000,'99-'00,TOR,8,1,0,1,-1,6,7,,14.3,0,0,0,0,0,11:33,92:24,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,94,27.5,"Hamilton, Ontario","హామిల్టన్, ఓంటేరియో",21,1
